Class,count of spam words,count of function words,count of HTML anchors,count of all tags,count of all tags not anchor,count of image tags,count of alphanumeric,count of duplicate words,min word length,count of lower case,longest capitalized word,count of lines,count of digits,count of whitespaces,count of uppercase chars,count of all chars,count of tabs,count of specials,count of alpha chars,count of words,average word lt,count of words whose lt is greater than 6,count of words whose lt is lesser than 3,count of single qoutes,count of commas,count of periods,count of semicolon,count of question marks,count of multiple question marks,count of exclamation,count of multiple exclamation,count of colons,count of ellipses,count of sentences,count of paras,avg number of sentences per para,avg no of words per para,avg no of chars per para,avg no of words per sentence,no of sentences beginning with caps,no of sentences beginning with lower,frequency of $,count of capitalized words,count of all caps,count of digit words,words with only letters,only single letter words,only single digit words,single chars,max ratio of uppercase letters to lowercase letters of each word.,Max of ratio of uppercase letters to all characters of each word,max ratio of digits to all chars in a word,Max of ratio of non-alphanumeric characters to all characters of each word,Max of the longest repeating character,Max of the character lengths of words,minimum char diversity
0,0,58,0,1,1,0,1092,52,3,947,4,51,103,225,42,1562,0,245,989,224,6.973214285714286,85,76,5,9,38,0,0,0,0,0,20,8,7,15,0.4666666666666667,14.933333333333334,104.13333333333334,32.0,4,1,3,27,5,5,124,5,2,1,0.044350580781414996,9.232142857142856,0.06594110115236876,0.30089628681177977,47,56,9.232142857142856
0,2,33,0,0,0,0,586,10,2,531,3,27,12,102,43,899,0,211,574,111,8.0990990990991,44,40,3,9,8,0,1,0,2,0,4,0,6,5,1.2,22.2,179.8,18.5,5,0,0,25,1,4,80,3,1,0,0.08097928436911488,10.242424242424242,0.013348164627363738,0.3481646273637375,69,72,4.347222222222222
0,2,96,0,0,0,0,1304,58,2,1195,6,39,13,227,96,1751,0,220,1291,252,6.948412698412699,101,90,2,17,15,0,0,0,2,0,4,2,12,6,2.0,42.0,291.8333333333333,21.0,11,0,0,58,5,2,207,4,1,1,0.0803347280334728,14.303030303030303,0.0074243289548829245,0.2552826956025129,69,72,6.208333333333333
0,0,61,0,0,0,0,852,21,2,783,2,33,27,151,42,1127,0,124,825,164,6.871951219512195,58,52,3,9,14,0,0,0,0,0,3,0,7,7,1.0,23.428571428571427,161.0,23.428571428571427,6,0,0,35,3,5,135,3,1,0,0.05363984674329502,7.7,0.023957409050576754,0.2440106477373558,47,55,5.781818181818181
0,0,90,0,0,0,0,931,17,3,893,1,41,14,183,24,1297,0,183,917,207,6.265700483091788,52,89,2,10,30,0,2,0,1,0,4,19,13,9,1.4444444444444444,23.0,144.11111111111111,15.923076923076923,9,1,0,23,2,2,154,9,0,6,0.026875699888017916,7.611111111111111,0.01079414032382421,0.28218966846569005,47,67,6.283582089552239
0,2,62,0,0,0,0,707,15,3,660,3,32,4,137,43,1052,0,208,703,143,7.356643356643357,47,56,3,4,13,1,1,0,2,0,4,2,7,7,1.0,20.428571428571427,150.28571428571428,20.428571428571427,5,1,0,25,2,1,115,5,1,2,0.06515151515151515,11.212121212121213,0.0038022813688212928,0.3279467680608365,69,72,4.791666666666667
0,2,43,0,0,0,0,463,10,3,424,3,26,4,94,35,743,0,186,459,101,7.356435643564357,28,50,2,2,8,0,2,0,2,0,3,2,7,7,1.0,14.428571428571429,106.14285714285714,14.428571428571429,6,0,0,17,1,1,78,2,1,3,0.08254716981132075,9.242424242424242,0.005383580080753701,0.3768506056527591,69,72,3.888888888888889
0,2,93,0,0,0,0,893,28,2,812,6,39,26,213,55,1326,0,220,867,208,6.375,52,90,0,12,13,0,0,0,2,0,3,2,10,6,1.6666666666666667,34.666666666666664,221.0,20.8,6,0,0,28,4,3,168,6,1,5,0.06773399014778325,13.878787878787879,0.0196078431372549,0.32654600301659126,69,72,6.013888888888889
0,4,62,0,1,1,0,780,11,2,722,3,40,4,154,54,1168,0,234,776,166,7.036144578313253,52,69,10,6,18,0,1,0,2,0,6,2,12,9,1.3333333333333333,18.444444444444443,129.77777777777777,13.833333333333334,9,1,0,35,4,1,119,6,1,5,0.07479224376731301,12.515151515151516,0.003424657534246575,0.3321917808219178,69,72,5.388888888888889
0,4,475,0,0,0,0,4622,151,2,4411,3,127,67,1061,144,6115,0,432,4555,1024,5.9716796875,318,417,0,64,42,0,3,0,3,0,6,0,42,7,6.0,146.28571428571428,873.5714285714286,24.38095238095238,36,0,0,116,8,13,855,37,1,8,0.03264565858082068,46.0,0.010956663941128373,0.24415372035977106,69,72,20.73611111111111
0,0,44,0,1,1,0,685,14,3,482,12,35,72,170,131,980,2,123,613,142,6.901408450704225,41,59,3,7,16,0,0,0,0,0,9,2,7,6,1.1666666666666667,23.666666666666668,163.33333333333334,20.285714285714285,3,1,0,39,17,8,81,7,0,9,1.3790444567422984,4.5,0.19568756247322575,1.1065543338569186,5,64,1.828125
0,1,38,0,0,0,0,617,4,2,577,4,20,6,90,34,867,0,160,611,104,8.336538461538462,42,38,0,2,12,0,2,0,1,0,3,0,7,2,3.5,52.0,433.5,14.857142857142858,5,1,0,19,7,0,84,7,0,1,0.058925476603119586,4.887096774193548,0.006920415224913495,0.28835063437139563,55,62,4.545454545454546
0,1,20,0,0,0,0,403,0,3,378,4,21,6,47,19,622,0,172,397,59,10.542372881355933,22,19,1,2,12,0,3,0,1,0,4,0,5,4,1.25,14.75,155.5,11.8,3,1,0,12,2,0,39,1,0,1,0.05026455026455026,4.333333333333333,0.00964630225080386,0.3520900321543408,55,63,3.981818181818182
0,0,158,0,1,1,0,1720,46,3,1647,4,60,31,372,42,2311,0,219,1689,351,6.584045584045584,123,137,12,14,25,0,1,0,0,0,7,8,19,15,1.2666666666666666,23.4,154.06666666666666,18.473684210526315,14,2,0,32,7,3,263,16,1,15,0.025500910746812388,11.392857142857142,0.013414106447425357,0.25573344872349635,47,56,11.392857142857142
0,1,30,0,0,0,0,438,0,3,396,4,18,6,68,36,662,0,156,432,77,8.597402597402597,22,32,2,0,11,0,2,0,1,0,3,2,6,3,2.0,25.666666666666668,220.66666666666666,12.833333333333334,4,1,0,23,6,0,59,3,0,1,0.09090909090909091,4.412698412698412,0.00906344410876133,0.338368580060423,55,63,4.072727272727272
0,1,59,0,0,0,0,718,11,2,665,4,28,22,142,31,1053,0,193,696,155,6.7935483870967746,39,62,2,3,14,0,3,0,1,0,8,0,10,3,3.3333333333333335,51.666666666666664,351.0,15.5,8,1,0,22,5,1,114,6,0,10,0.04661654135338346,6.174603174603174,0.020892687559354226,0.3181386514719848,55,63,6.090909090909091
0,0,78,0,0,0,0,797,8,2,747,2,29,23,162,27,1064,0,105,774,175,6.08,56,71,9,12,18,0,0,0,0,0,6,2,10,7,1.4285714285714286,25.0,152.0,17.5,10,0,0,25,6,1,125,6,0,5,0.03614457831325301,14.947368421052632,0.021616541353383457,0.25093984962406013,3,41,7.317073170731707
0,0,92,0,3,3,0,1219,43,3,949,13,53,107,336,163,1778,2,221,1112,302,5.887417218543046,73,139,9,19,35,0,1,0,0,0,17,4,15,7,2.142857142857143,43.142857142857146,254.0,20.133333333333333,12,0,0,63,15,13,168,12,1,39,1.6175355083401062,4.5,0.19199128528288356,1.114143489472015,5,64,1.828125
0,1,299,0,0,0,0,3534,142,2,3436,3,90,12,674,86,4630,0,422,3522,694,6.671469740634006,275,244,12,37,37,0,0,0,1,0,2,0,35,17,2.0588235294117645,40.8235294117647,272.3529411764706,19.82857142857143,33,1,0,73,8,3,585,13,1,0,0.025029103608847497,30.43243243243243,0.002591792656587473,0.2367170626349892,117,117,9.367521367521368
0,0,28,0,0,0,0,454,2,2,402,3,25,14,76,38,654,0,124,440,89,7.348314606741573,34,30,4,6,11,0,2,0,0,0,5,4,4,6,0.6666666666666666,14.833333333333334,109.0,22.25,2,2,0,21,6,0,59,2,0,5,0.0945273631840796,5.682926829268292,0.021406727828746176,0.3058103975535168,47,47,4.25531914893617
0,2,57,0,1,1,0,797,7,2,734,3,37,6,161,57,1202,0,244,791,173,6.9479768786127165,67,66,1,11,18,0,0,0,2,0,4,2,7,8,0.875,21.625,150.25,24.714285714285715,5,0,0,31,6,1,124,8,1,11,0.0776566757493188,13.030303030303031,0.004991680532445923,0.3369384359400998,69,72,5.625
0,0,41,0,0,0,0,665,42,2,606,4,31,10,135,49,925,0,125,655,146,6.335616438356165,43,68,2,0,20,0,1,0,0,0,12,4,5,3,1.6666666666666667,48.666666666666664,308.3333333333333,29.2,3,1,0,35,4,2,89,7,0,23,0.08085808580858085,14.578947368421053,0.010810810810810811,0.2810810810810811,5,41,7.146341463414634
0,2,11,0,0,0,0,275,4,3,239,3,22,5,33,31,487,0,179,270,41,11.878048780487806,17,12,0,1,9,0,0,0,2,0,5,0,3,7,0.42857142857142855,5.857142857142857,69.57142857142857,13.666666666666666,3,0,0,13,0,1,27,0,1,0,0.1297071129707113,7.181818181818182,0.01026694045174538,0.4353182751540041,69,72,2.9444444444444446
