Class,count of spam words,count of function words,count of HTML anchors,count of all tags,count of all tags not anchor,count of image tags,count of alphanumeric,count of duplicate words,min word length,count of lower case,longest capitalized word,count of lines,count of digits,count of whitespaces,count of uppercase chars,count of all chars,count of tabs,count of specials,count of alpha chars,count of words,average word lt,count of words whose lt is greater than 6,count of words whose lt is lesser than 3,count of single qoutes,count of commas,count of periods,count of semicolon,count of question marks,count of multiple question marks,count of exclamation,count of multiple exclamation,count of colons,count of ellipses,count of sentences,count of paras,avg number of sentences per para,avg no of words per para,avg no of chars per para,avg no of words per sentence,no of sentences beginning with caps,no of sentences beginning with lower,frequency of $,count of capitalized words,count of all caps,count of digit words,words with only letters,only single letter words,only single digit words,single chars,max ratio of uppercase letters to lowercase letters of each word.,Max of ratio of uppercase letters to all characters of each word,max ratio of digits to all chars in a word,Max of ratio of non-alphanumeric characters to all characters of each word,Max of the longest repeating character,Max of the character lengths of words,minimum char diversity
0,1,46,0,0,0,0,575,11,3,435,9,28,16,103,124,763,0,85,559,111,6.873873873873874,40,43,0,1,7,0,1,0,0,0,5,2,5,5,1.0,22.2,152.6,22.2,4,0,0,25,13,0,85,6,0,2,0.2850574712643678,14.071428571428571,0.020969855832241154,0.24639580602883354,5,64,3.90625
0,1,24,0,0,0,0,594,7,2,434,9,30,28,83,132,789,0,113,565,103,7.660194174757281,42,34,2,2,12,0,1,0,0,0,9,4,6,6,1.0,17.166666666666668,131.5,17.166666666666668,3,0,0,31,13,2,61,1,1,10,0.30484988452655887,14.642857142857142,0.035487959442332066,0.24841571609632446,5,64,4.046875
0,1,70,0,0,0,0,866,20,2,702,9,38,20,159,144,1152,0,127,846,175,6.582857142857143,57,70,0,5,11,0,4,0,0,0,6,4,11,10,1.1,17.5,115.2,15.909090909090908,7,0,0,35,15,0,127,3,0,8,0.20512820512820512,21.07142857142857,0.017361111111111112,0.2482638888888889,5,64,5.4375
0,2,177,0,1,1,0,1580,35,2,1531,5,52,4,331,45,2055,0,144,1576,356,5.772471910112359,111,157,2,12,26,0,3,0,0,0,2,18,25,12,2.0833333333333335,29.666666666666668,171.25,14.24,16,5,0,27,6,0,288,14,0,7,0.02939255388634879,60.375,0.0019464720194647203,0.23114355231143552,4,15,32.6
0,2,164,0,1,1,0,1514,32,2,1463,4,54,5,323,46,1986,0,149,1509,350,5.674285714285714,104,153,5,15,19,3,5,0,0,0,2,4,25,10,2.5,35.0,198.6,14.0,15,1,0,32,5,0,264,5,0,27,0.03144224196855776,60.0,0.0025176233635448137,0.23766364551863042,2,19,25.789473684210524
0,2,92,0,0,0,0,891,14,3,850,4,31,1,205,40,1174,0,78,890,212,5.537735849056604,58,100,2,4,13,1,4,0,0,0,3,0,17,5,3.4,42.4,234.8,12.470588235294118,12,0,0,26,5,0,169,6,0,17,0.047058823529411764,13.681818181818182,0.0008517887563884157,0.24105621805792163,3,22,13.681818181818182
0,2,148,0,0,0,0,1431,29,2,1358,6,38,3,324,70,1852,0,97,1428,327,5.663608562691132,103,134,12,5,15,0,9,0,0,0,2,0,24,6,4.0,54.5,308.6666666666667,13.625,20,0,1,46,13,0,272,15,0,13,0.05154639175257732,19.954545454545453,0.0016198704103671706,0.22732181425485962,3,22,19.954545454545453
0,0,43,0,0,0,0,342,9,2,325,3,19,0,82,17,477,0,53,342,82,5.817073170731708,23,41,2,2,10,0,2,0,0,0,3,0,8,6,1.3333333333333333,13.666666666666666,79.5,10.25,6,0,0,12,0,0,61,1,0,5,0.052307692307692305,17.875,0.0,0.2830188679245283,7,34,4.735294117647059
0,0,18,0,0,0,0,193,0,2,175,4,8,0,33,18,251,0,25,193,38,6.605263157894737,15,18,1,3,8,0,0,0,0,0,1,0,3,2,1.5,19.0,125.5,12.666666666666666,3,0,0,9,4,0,28,0,0,0,0.10285714285714286,20.333333333333332,0.0,0.23107569721115537,3,27,2.8888888888888893
0,2,174,0,0,0,0,1509,37,3,1459,4,46,10,368,40,2039,0,162,1499,368,5.540760869565218,99,163,11,15,39,0,1,0,0,0,5,8,23,10,2.3,36.8,203.9,16.0,18,0,0,36,8,0,273,13,0,25,0.027416038382453736,53.4,0.004904364884747425,0.2599313388916135,9,25,22.04
0,0,18,0,0,0,0,150,0,3,135,4,8,0,38,15,208,0,20,150,39,5.333333333333333,10,20,0,1,7,0,0,0,0,0,1,0,5,2,2.5,19.5,104.0,7.8,5,0,0,9,4,0,28,2,0,2,0.1111111111111111,15.5,0.0,0.27884615384615385,3,11,6.181818181818182
0,1,123,0,2,2,0,942,27,2,903,4,23,12,221,27,1225,0,62,930,235,5.212765957446808,52,107,5,12,9,0,2,0,0,0,0,2,10,3,3.3333333333333335,78.33333333333333,408.3333333333333,23.5,9,0,0,21,9,1,198,14,0,4,0.029900332225913623,36.25,0.009795918367346938,0.2310204081632653,3,11,26.545454545454543
0,1,148,0,3,3,0,1291,31,3,1221,4,34,24,330,46,1717,0,96,1267,307,5.592833876221499,76,124,8,12,11,0,4,0,0,0,0,8,16,5,3.2,61.4,343.4,19.1875,14,0,0,37,10,2,246,12,0,4,0.03767403767403767,107.5,0.013977868375072802,0.24810716365754223,4,18,24.555555555555557
0,1,156,0,0,0,0,1498,37,3,1447,4,38,4,299,47,1935,0,138,1494,318,6.084905660377358,103,112,15,14,11,1,1,0,0,0,2,6,11,6,1.8333333333333333,53.0,322.5,28.90909090909091,8,1,0,25,7,0,249,4,0,8,0.03248099516240498,146.66666666666666,0.0020671834625322996,0.22583979328165374,4,68,7.176470588235294
0,0,100,0,1,1,0,956,18,2,908,4,32,20,208,28,1277,0,113,936,216,5.912037037037037,65,82,9,23,14,0,0,0,0,0,1,8,10,6,1.6666666666666667,36.0,212.83333333333334,21.6,7,1,0,18,4,1,157,8,1,3,0.030837004405286344,33.0,0.015661707126076743,0.2513703993735317,5,25,13.6
0,0,44,0,2,2,0,944,30,3,696,5,48,107,132,141,1306,0,230,837,162,8.061728395061728,61,60,5,3,19,4,3,1,1,0,14,2,10,9,1.1111111111111112,18.0,145.11111111111111,16.2,5,0,0,41,10,2,83,7,0,18,0.2025862068965517,23.5625,0.08192955589586524,0.2771822358346095,6,49,8.142857142857142
0,0,42,0,1,1,0,468,12,3,458,1,19,0,110,10,642,0,64,468,109,5.889908256880734,31,37,4,9,7,0,0,0,0,0,1,8,6,3,2.0,36.333333333333336,214.0,18.166666666666668,3,1,0,10,0,0,78,3,0,6,0.021834061135371178,18.299999999999997,0.0,0.27102803738317754,8,25,7.72
0,0,29,0,1,1,0,685,10,3,500,11,29,67,126,118,938,0,127,618,129,7.271317829457364,48,43,3,8,16,0,0,0,0,0,13,4,6,5,1.2,25.8,187.6,21.5,3,0,0,33,11,2,74,5,1,3,1.1890196078431372,4.714285714285714,0.144097391814008,1.0466201035459608,5,64,1.84375
0,0,17,0,1,1,0,470,6,3,309,14,22,34,64,127,630,0,96,436,73,8.63013698630137,33,25,1,4,11,0,1,0,0,0,16,2,5,4,1.25,18.25,157.5,14.6,3,0,2,27,9,1,40,1,0,2,1.34,4.571428571428571,0.11059608386761394,1.0017761219892565,5,64,1.828125
0,1,31,0,0,0,0,571,6,2,527,4,38,6,78,38,896,0,247,565,101,8.871287128712872,31,36,4,0,16,0,3,0,3,0,6,0,8,11,0.7272727272727273,9.181818181818182,81.45454545454545,12.625,6,2,0,28,4,0,69,1,0,4,0.07210626185958255,6.096774193548387,0.006696428571428571,0.3627232142857143,55,62,5.909090909090909
0,1,71,0,1,1,0,919,16,2,843,4,46,31,169,45,1372,0,284,888,198,6.929292929292929,56,79,11,9,13,1,2,0,2,0,8,8,7,9,0.7777777777777778,22.0,152.44444444444446,28.285714285714285,4,1,2,25,7,3,122,3,2,14,0.05338078291814947,8.161290322580646,0.02259475218658892,0.3301749271137026,55,62,8.161290322580646
0,1,11,0,0,0,0,427,4,3,397,4,19,12,32,18,627,0,168,415,43,14.581395348837209,18,14,0,0,8,0,2,0,1,0,5,0,3,3,1.0,14.333333333333334,209.0,14.333333333333334,2,1,0,12,2,0,28,1,0,1,0.04534005037783375,3.9384615384615387,0.019138755980861243,0.3189792663476874,55,65,3.6363636363636362
