Class,no of chars,No of capitalised words,No of words with all caps,Single digits,more than one Digits,single letters,only letters,letters and numbers,single chars,Ratio to upper to lower chars,Ratio of upper to all chars,Ratio of Digits to all chars,Ration of non alphanumeric to all chars,Count of max repeating char,max of character lengths,minimum char diversity
0,24,4,0,0,0,0,3,0,0,0.25,0.16666666666666666,0.0,0.16666666666666666,1,9,1.4444444444444444
0,25,2,1,0,0,0,1,0,0,0.17647058823529413,0.12,0.0,0.2,4,11,1.2727272727272727
0,25,1,0,0,0,0,2,0,0,0.05,0.04,0.0,0.16,4,11,1.1818181818181819
0,37,7,1,0,0,0,4,0,0,0.5294117647058824,0.24324324324324326,0.0,0.2972972972972973,2,5,2.8000000000000003
0,20,2,0,0,0,0,2,0,0,0.13333333333333333,0.1,0.0,0.15,1,9,1.3333333333333333
0,46,2,0,0,0,0,6,0,0,0.058823529411764705,0.043478260869565216,0.0,0.21739130434782608,4,11,1.7272727272727273
0,46,2,0,0,0,0,6,0,0,0.058823529411764705,0.043478260869565216,0.0,0.21739130434782608,4,11,1.7272727272727273
0,47,1,0,0,0,1,8,0,0,0.027777777777777776,0.02127659574468085,0.0,0.2127659574468085,4,11,1.7272727272727273
0,46,2,0,0,0,0,6,0,0,0.058823529411764705,0.043478260869565216,0.0,0.21739130434782608,4,11,1.7272727272727273
0,32,1,0,0,0,0,2,0,0,0.037037037037037035,0.03125,0.0,0.125,4,11,1.1818181818181819
0,24,4,0,0,0,0,3,0,0,0.25,0.16666666666666666,0.0,0.16666666666666666,1,9,1.4444444444444444
0,36,5,2,0,0,0,4,0,0,0.42857142857142855,0.25,0.0,0.16666666666666666,1,12,1.5
0,47,3,0,0,0,0,4,0,0,0.11764705882352941,0.0851063829787234,0.0,0.19148936170212766,2,11,1.7000000000000002
0,24,4,0,0,0,0,3,0,0,0.25,0.16666666666666666,0.0,0.16666666666666666,1,9,1.4444444444444444
0,38,4,0,0,0,0,5,0,0,0.19230769230769232,0.13157894736842105,0.0,0.18421052631578946,1,9,1.7142857142857142
0,47,6,0,0,0,0,5,0,0,0.25925925925925924,0.14893617021276595,0.0,0.2765957446808511,3,7,2.571428571428571
0,45,4,2,0,0,0,4,2,0,0.43478260869565216,0.2222222222222222,0.044444444444444446,0.2222222222222222,1,8,2.25
0,24,4,0,0,0,0,3,0,0,0.25,0.16666666666666666,0.0,0.16666666666666666,1,9,1.4444444444444444
0,17,1,0,0,0,0,4,0,0,0.07692307692307693,0.058823529411764705,0.0,0.17647058823529413,1,4,1.75
0,25,4,1,0,0,0,2,0,0,0.7272727272727273,0.32,0.0,0.24,2,7,1.7142857142857144
0,59,7,0,0,0,0,6,0,0,0.16666666666666666,0.11864406779661017,0.0,0.1694915254237288,4,11,1.7272727272727273
0,24,4,2,0,0,0,1,0,0,1.0,0.3333333333333333,0.0,0.3333333333333333,2,9,1.6666666666666665
0,33,4,0,0,0,0,3,0,0,0.18181818181818182,0.12121212121212122,0.0,0.21212121212121213,4,11,1.4545454545454546
0,20,3,1,0,0,0,1,0,0,0.75,0.3,0.0,0.3,2,9,1.4444444444444442
0,37,5,0,0,0,0,3,0,0,0.21739130434782608,0.13513513513513514,0.0,0.24324324324324326,4,11,1.6363636363636365
0,24,4,1,0,0,0,1,0,0,0.7777777777777778,0.2916666666666667,0.0,0.3333333333333333,2,9,1.6666666666666665
0,24,4,1,0,0,0,1,0,0,0.7777777777777778,0.2916666666666667,0.0,0.3333333333333333,2,9,1.6666666666666665
0,14,2,1,0,0,0,2,0,0,0.5714285714285714,0.2857142857142857,0.0,0.21428571428571427,1,6,1.5
0,37,5,0,0,0,0,3,0,0,0.21739130434782608,0.13513513513513514,0.0,0.24324324324324326,4,11,1.6363636363636365
0,14,2,1,0,0,0,2,0,0,0.5714285714285714,0.2857142857142857,0.0,0.21428571428571427,1,6,1.5
0,24,4,1,0,0,0,1,0,0,0.7777777777777778,0.2916666666666667,0.0,0.3333333333333333,2,9,1.6666666666666665
0,34,5,1,0,0,0,4,0,0,0.2857142857142857,0.17647058823529413,0.0,0.20588235294117646,1,9,1.7777777777777777
0,46,1,0,0,0,0,6,0,0,0.025,0.021739130434782608,0.0,0.10869565217391304,2,12,1.4166666666666667
0,14,2,1,0,0,0,2,0,0,0.5714285714285714,0.2857142857142857,0.0,0.21428571428571427,1,6,1.5
0,59,4,2,0,0,0,1,0,0,0.7083333333333334,0.288135593220339,0.05084745762711865,0.2542372881355932,2,10,2.4
0,20,2,0,0,0,0,2,0,0,0.13333333333333333,0.1,0.0,0.15,1,9,1.3333333333333333
0,20,2,0,0,0,0,2,0,0,0.13333333333333333,0.1,0.0,0.15,1,9,1.3333333333333333
0,37,3,1,0,0,0,4,0,1,0.3157894736842105,0.16216216216216217,0.05405405405405406,0.2702702702702703,2,6,2.3333333333333335
0,35,1,0,0,0,0,4,0,0,0.03225806451612903,0.02857142857142857,0.0,0.08571428571428572,1,9,1.3333333333333333
0,20,2,0,0,0,0,2,0,0,0.13333333333333333,0.1,0.0,0.15,1,9,1.3333333333333333
0,11,1,0,0,0,0,1,0,0,0.125,0.09090909090909091,0.0,0.18181818181818182,1,7,1.2857142857142856
0,11,1,0,0,0,0,1,0,0,0.125,0.09090909090909091,0.0,0.18181818181818182,1,7,1.2857142857142856
0,11,1,0,0,0,0,1,0,0,0.125,0.09090909090909091,0.0,0.18181818181818182,1,7,1.2857142857142856
0,52,4,1,0,0,1,6,0,0,0.2,0.1346153846153846,0.0,0.19230769230769232,2,10,2.0
0,63,6,0,0,0,0,7,1,0,0.13953488372093023,0.09523809523809523,0.015873015873015872,0.20634920634920634,1,8,2.5
0,35,0,0,0,0,0,6,0,0,0.0,0.0,0.0,0.14285714285714285,1,7,1.7142857142857144
0,14,2,1,0,0,0,2,0,0,0.5714285714285714,0.2857142857142857,0.0,0.21428571428571427,1,6,1.5
0,13,1,0,0,0,0,1,0,0,0.08333333333333333,0.07692307692307693,0.0,0.0,1,13,1.0
0,41,1,0,0,0,0,0,0,0,0.02857142857142857,0.024390243902439025,0.0,0.12195121951219512,1,37,1.0540540540540542
0,14,2,1,0,0,0,2,0,0,0.5714285714285714,0.2857142857142857,0.0,0.21428571428571427,1,6,1.5
0,22,4,1,0,0,0,2,0,0,0.7777777777777778,0.3181818181818182,0.0,0.2727272727272727,1,7,1.6666666666666665
0,50,2,0,0,0,0,6,0,0,0.04878048780487805,0.04,0.0,0.14,2,12,1.5833333333333335
