Class,no of chars,No of capitalised words,No of words with all caps,Single digits,more than one Digits,single letters,only letters,letters and numbers,single chars,Ratio to upper to lower chars,Ratio of upper to all chars,Ratio of Digits to all chars,Ration of non alphanumeric to all chars,Count of max repeating char,max of character lengths,minimum char diversity
0,18,3,0,0,0,0,3,0,0,0.23076923076923078,0.16666666666666666,0.0,0.1111111111111111,1,7,1.2857142857142856
0,22,4,0,0,0,0,3,0,0,0.2857142857142857,0.18181818181818182,0.0,0.18181818181818182,1,7,1.5714285714285714
0,22,4,0,0,0,0,3,0,0,0.2857142857142857,0.18181818181818182,0.0,0.18181818181818182,1,7,1.5714285714285714
0,22,4,0,0,0,0,3,0,0,0.2857142857142857,0.18181818181818182,0.0,0.18181818181818182,1,7,1.5714285714285714
0,22,4,0,0,0,0,3,0,0,0.2857142857142857,0.18181818181818182,0.0,0.18181818181818182,1,7,1.5714285714285714
0,22,4,0,0,0,0,3,0,0,0.2857142857142857,0.18181818181818182,0.0,0.18181818181818182,1,7,1.5714285714285714
0,22,4,0,0,0,0,3,0,0,0.2857142857142857,0.18181818181818182,0.0,0.18181818181818182,1,7,1.5714285714285714
0,22,4,0,0,0,0,3,0,0,0.2857142857142857,0.18181818181818182,0.0,0.18181818181818182,1,7,1.5714285714285714
0,31,2,0,0,0,0,4,0,0,0.08695652173913043,0.06451612903225806,0.0,0.1935483870967742,2,11,1.3636363636363638
0,31,1,0,0,0,0,4,0,0,0.041666666666666664,0.03225806451612903,0.0,0.1935483870967742,2,11,1.3636363636363638
0,31,2,0,0,0,0,4,0,0,0.08695652173913043,0.06451612903225806,0.0,0.1935483870967742,2,11,1.3636363636363638
0,22,1,0,0,0,0,1,0,0,0.0625,0.045454545454545456,0.0,0.22727272727272727,1,11,1.2727272727272727
0,22,1,0,0,0,0,1,0,0,0.0625,0.045454545454545456,0.0,0.22727272727272727,1,11,1.2727272727272727
0,31,1,0,0,0,0,4,0,0,0.041666666666666664,0.03225806451612903,0.0,0.1935483870967742,2,11,1.3636363636363638
0,22,1,0,0,0,0,1,0,0,0.0625,0.045454545454545456,0.0,0.22727272727272727,1,11,1.2727272727272727
0,65,5,0,0,0,0,5,0,0,0.1590909090909091,0.1076923076923077,0.0,0.2153846153846154,2,12,1.9166666666666667
0,23,1,0,0,0,0,1,0,0,0.0625,0.043478260869565216,0.0,0.2608695652173913,1,11,1.3636363636363638
0,50,3,0,0,0,0,2,1,0,0.16666666666666666,0.1,0.06,0.24,2,12,1.9
0,50,3,0,0,0,0,2,1,0,0.16666666666666666,0.1,0.06,0.24,2,12,1.9
0,38,3,0,0,0,0,3,0,0,0.16,0.10526315789473684,0.0,0.23684210526315788,1,8,1.875
0,51,3,0,0,0,0,2,1,0,0.16129032258064516,0.09803921568627451,0.058823529411764705,0.23529411764705882,2,12,1.9
0,56,3,2,0,0,0,2,0,1,0.25,0.16071428571428573,0.0,0.19642857142857142,2,27,1.3333333333333333
0,51,3,0,0,0,0,3,0,0,0.12121212121212122,0.0784313725490196,0.058823529411764705,0.21568627450980393,2,11,2.0
0,43,3,0,0,0,0,2,1,0,0.16666666666666666,0.09302325581395349,0.09302325581395349,0.2558139534883721,2,7,2.2857142857142856
0,51,3,0,0,0,0,2,1,0,0.16129032258064516,0.09803921568627451,0.058823529411764705,0.23529411764705882,2,12,1.9
0,26,2,0,0,0,0,0,0,0,0.2727272727272727,0.11538461538461539,0.11538461538461539,0.34615384615384615,1,8,2.0
0,63,3,1,0,0,0,3,1,0,0.1935483870967742,0.09523809523809523,0.09523809523809523,0.31746031746031744,2,24,1.5
0,49,3,0,0,0,0,6,0,0,0.11428571428571428,0.08163265306122448,0.0,0.20408163265306123,1,8,2.0
0,73,4,2,0,0,0,0,1,0,0.36363636363636365,0.1643835616438356,0.136986301369863,0.2465753424657534,2,34,1.3599999999999999
0,75,7,2,0,0,0,5,0,0,0.42857142857142855,0.2,0.04,0.29333333333333333,4,8,3.5
0,35,3,0,0,0,0,0,0,0,0.2857142857142857,0.17142857142857143,0.0,0.22857142857142856,2,15,1.4666666666666668
0,76,2,1,0,0,1,4,1,0,0.12244897959183673,0.07894736842105263,0.02631578947368421,0.25,4,21,1.7619047619047619
0,85,3,0,0,0,0,9,0,0,0.11864406779661017,0.08235294117647059,0.0,0.2235294117647059,4,11,2.6363636363636362
0,49,4,0,0,0,0,4,0,0,0.14705882352941177,0.10204081632653061,0.0,0.20408163265306123,2,11,1.9090909090909092
0,30,4,1,0,0,0,3,0,0,0.4,0.2,0.0,0.3,1,8,1.875
0,42,3,0,0,0,0,3,0,0,0.21428571428571427,0.14285714285714285,0.0,0.19047619047619047,1,11,1.5454545454545454
0,35,3,0,0,0,0,0,0,0,0.2857142857142857,0.17142857142857143,0.0,0.22857142857142856,2,15,1.4666666666666668
0,37,3,1,0,0,0,1,0,0,0.2857142857142857,0.16216216216216217,0.0,0.2702702702702703,3,12,1.7
0,41,4,1,0,0,0,1,0,0,0.3181818181818182,0.17073170731707318,0.0,0.2926829268292683,3,12,1.9
0,61,3,1,0,0,0,7,0,0,0.09523809523809523,0.06557377049180328,0.0,0.2459016393442623,1,8,2.625
0,31,4,0,0,0,0,2,0,0,0.2777777777777778,0.16129032258064516,0.0,0.25806451612903225,1,8,1.75
0,59,3,0,0,0,0,1,0,0,0.10526315789473684,0.06779661016949153,0.05084745762711865,0.23728813559322035,1,15,1.8
